"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://magicworksitsolutions.com/_next/static/chunks/01hp7hx8dhw7x.js?dpl=dpl_61gKP5VGt1Jkai1mdkMzRKrey7vn","application/javascript; charset=utf-8","200","OK","Indexable","","","107","","https://magicworksitsolutions.com/_next/static/chunks/01hp7hx8dhw7x.js?dpl=dpl_61gKP5VGt1Jkai1mdkMzRKrey7vn"
"https://magicworksitsolutions.com/work","text/html; charset=utf-8","200","OK","Indexable","","55cfbe210854c95ef7bb37ce09eacbee","38","https://magicworksitsolutions.com/work","https://magicworksitsolutions.com/work"
"https://magicworksitsolutions.com/about","text/html; charset=utf-8","200","OK","Indexable","","6ab040005868865a6a763a28cc02e34a","39","https://magicworksitsolutions.com/about","https://magicworksitsolutions.com/about"
"https://magicworksitsolutions.com/terms","text/html; charset=utf-8","200","OK","Non-Indexable","noindex","423ebd20f7d30bd206302ad18979bba0","39","https://magicworksitsolutions.com/terms","https://magicworksitsolutions.com/terms"
"https://magicworksitsolutions.com/_next/static/chunks/turbopack-1uy1rzkuu2h9n.js?dpl=dpl_61gKP5VGt1Jkai1mdkMzRKrey7vn","application/javascript; charset=utf-8","200","OK","Indexable","","","117","","https://magicworksitsolutions.com/_next/static/chunks/turbopack-1uy1rzkuu2h9n.js?dpl=dpl_61gKP5VGt1Jkai1mdkMzRKrey7vn"
"https://magicworksitsolutions.com/group/magic-pipeline","text/html; charset=utf-8","200","OK","Indexable","","891d7a7636f52d94a214e4f41cef2238","54","https://magicworksitsolutions.com/group/magic-pipeline","https://magicworksitsolutions.com/group/magic-pipeline"
"https://magicworksitsolutions.com/_next/static/chunks/1bvllgm4lgaac.js?dpl=dpl_61gKP5VGt1Jkai1mdkMzRKrey7vn","application/javascript; charset=utf-8","200","OK","Indexable","","","107","","https://magicworksitsolutions.com/_next/static/chunks/1bvllgm4lgaac.js?dpl=dpl_61gKP5VGt1Jkai1mdkMzRKrey7vn"
"https://magicworksitsolutions.com/group/magicworks-host","text/html; charset=utf-8","200","OK","Indexable","","b6324fd7e859427c08d9ed1c0e179234","55","https://magicworksitsolutions.com/group/magicworks-host","https://magicworksitsolutions.com/group/magicworks-host"
"https://magicworksitsolutions.com/_next/static/chunks/3nc6x0_y5iwnk.js?dpl=dpl_61gKP5VGt1Jkai1mdkMzRKrey7vn","application/javascript; charset=utf-8","200","OK","Indexable","","","107","","https://magicworksitsolutions.com/_next/static/chunks/3nc6x0_y5iwnk.js?dpl=dpl_61gKP5VGt1Jkai1mdkMzRKrey7vn"
"https://magicworksitsolutions.com/contact","text/html; charset=utf-8","200","OK","Indexable","","6eee30e7572866e6945d40da575e61a","41","https://magicworksitsolutions.com/contact","https://magicworksitsolutions.com/contact"
"https://magicworksitsolutions.com/_next/static/chunks/3aixr5clfo51-.js?dpl=dpl_61gKP5VGt1Jkai1mdkMzRKrey7vn","application/javascript; charset=utf-8","200","OK","Indexable","","","107","","https://magicworksitsolutions.com/_next/static/chunks/3aixr5clfo51-.js?dpl=dpl_61gKP5VGt1Jkai1mdkMzRKrey7vn"
"https://magicworksitsolutions.com/services/web-development","text/html; charset=utf-8","200","OK","Indexable","","3368a66cb30cf04f7a3ce0e6c0b9021","58","https://magicworksitsolutions.com/services/web-development","https://magicworksitsolutions.com/services/web-development"
"https://magicworksitsolutions.com/insights/whitepapers","text/html; charset=utf-8","200","OK","Indexable","","d032081af85db73e15bcfe62a852b03","54","https://magicworksitsolutions.com/insights/whitepapers","https://magicworksitsolutions.com/insights/whitepapers"
"https://magicworksitsolutions.com/services/web-development/maintenance-amc","text/html; charset=utf-8","200","OK","Indexable","","9023b04cc56cdc16bf9bb936c028cb74","74","https://magicworksitsolutions.com/services/web-development/maintenance-amc","https://magicworksitsolutions.com/services/web-development/maintenance-amc"
"https://magicworksitsolutions.com/_next/static/chunks/07yk_uba9gy2o.js?dpl=dpl_61gKP5VGt1Jkai1mdkMzRKrey7vn","application/javascript; charset=utf-8","200","OK","Indexable","","","107","","https://magicworksitsolutions.com/_next/static/chunks/07yk_uba9gy2o.js?dpl=dpl_61gKP5VGt1Jkai1mdkMzRKrey7vn"
"https://magicworksitsolutions.com/services/platform-consultation","text/html; charset=utf-8","200","OK","Indexable","","aa5ec105438cfa74e10a214b528c7c3f","64","https://magicworksitsolutions.com/services/platform-consultation","https://magicworksitsolutions.com/services/platform-consultation"
"https://magicworksitsolutions.com/insights/whitepapers/ai-automation-readiness-indian-smes","text/html; charset=utf-8","200","OK","Indexable","","655b35ef7997fd51f58ba89e1423f1fc","90","https://magicworksitsolutions.com/insights/whitepapers/ai-automation-readiness-indian-smes","https://magicworksitsolutions.com/insights/whitepapers/ai-automation-readiness-indian-smes"
"https://magicworksitsolutions.com/insights/whitepapers/performance-marketing-roi","text/html; charset=utf-8","200","OK","Indexable","","3411071b012c92234acf2dd309dabe35","80","https://magicworksitsolutions.com/insights/whitepapers/performance-marketing-roi","https://magicworksitsolutions.com/insights/whitepapers/performance-marketing-roi"
"https://magicworksitsolutions.com/_next/static/chunks/0_r8n09ozzmel.js?dpl=dpl_61gKP5VGt1Jkai1mdkMzRKrey7vn","application/javascript; charset=utf-8","200","OK","Indexable","","","107","","https://magicworksitsolutions.com/_next/static/chunks/0_r8n09ozzmel.js?dpl=dpl_61gKP5VGt1Jkai1mdkMzRKrey7vn"
"https://magicworksitsolutions.com/services/web-development/ai-native-websites","text/html; charset=utf-8","200","OK","Indexable","","88e2629c997b79dcc0692cbd6835e2ff","77","https://magicworksitsolutions.com/services/web-development/ai-native-websites","https://magicworksitsolutions.com/services/web-development/ai-native-websites"
"https://magicworksitsolutions.com/services/platform-consultation/roadmap-audit","text/html; charset=utf-8","200","OK","Indexable","","fda15ab18f0924fbae56cd37b85cc0bb","78","https://magicworksitsolutions.com/services/platform-consultation/roadmap-audit","https://magicworksitsolutions.com/services/platform-consultation/roadmap-audit"
"https://magicworksitsolutions.com/services/web-development/ecommerce","text/html; charset=utf-8","200","OK","Indexable","","18097aa8575b631a73741ad8218bb4b4","68","https://magicworksitsolutions.com/services/web-development/ecommerce","https://magicworksitsolutions.com/services/web-development/ecommerce"
"https://magicworksitsolutions.com/services/platform-consultation/advisory-sprint","text/html; charset=utf-8","200","OK","Indexable","","52f35ede610fe4325c3782948d6e3cc1","80","https://magicworksitsolutions.com/services/platform-consultation/advisory-sprint","https://magicworksitsolutions.com/services/platform-consultation/advisory-sprint"
"https://magicworksitsolutions.com/work/b2b-enterprise-software-abm-demos","text/html; charset=utf-8","200","OK","Indexable","","64db77d1a2e34e011420b96156b12d7d","72","https://magicworksitsolutions.com/work/b2b-enterprise-software-abm-demos","https://magicworksitsolutions.com/work/b2b-enterprise-software-abm-demos"
"https://magicworksitsolutions.com/services/platform-consultation/workshop","text/html; charset=utf-8","200","OK","Indexable","","707a59bf91fe28dffee2735b548118c2","73","https://magicworksitsolutions.com/services/platform-consultation/workshop","https://magicworksitsolutions.com/services/platform-consultation/workshop"
"https://magicworksitsolutions.com/services/platform-consultation/embedded-advisor","text/html; charset=utf-8","200","OK","Indexable","","906b4b6deb9bcb365d83c0bb45925d6","81","https://magicworksitsolutions.com/services/platform-consultation/embedded-advisor","https://magicworksitsolutions.com/services/platform-consultation/embedded-advisor"
"https://magicworksitsolutions.com/work/regional-retail-chain-footfall-growth","text/html; charset=utf-8","200","OK","Indexable","","7620bddbef154de466ce48c58d6f2394","76","https://magicworksitsolutions.com/work/regional-retail-chain-footfall-growth","https://magicworksitsolutions.com/work/regional-retail-chain-footfall-growth"
"https://magicworksitsolutions.com/work/commercial-contractor-b2b-project-inquiries","text/html; charset=utf-8","200","OK","Indexable","","cdc9b494653b3c74b70178d14e8a3866","82","https://magicworksitsolutions.com/work/commercial-contractor-b2b-project-inquiries","https://magicworksitsolutions.com/work/commercial-contractor-b2b-project-inquiries"
"https://magicworksitsolutions.com/work/boutique-resort-direct-booking-growth","text/html; charset=utf-8","200","OK","Indexable","","c1ed6064cd7bddef2572b536cad71c39","76","https://magicworksitsolutions.com/work/boutique-resort-direct-booking-growth","https://magicworksitsolutions.com/work/boutique-resort-direct-booking-growth"
"https://magicworksitsolutions.com/work/aishwaryam-real-estate-pipeline","text/html; charset=utf-8","200","OK","Indexable","","5483d086e575db9efbca4ddd9a56cad2","70","https://magicworksitsolutions.com/work/aishwaryam-real-estate-pipeline","https://magicworksitsolutions.com/work/aishwaryam-real-estate-pipeline"
"https://magicworksitsolutions.com/_next/static/chunks/3tciezd3cy3tf.js?dpl=dpl_61gKP5VGt1Jkai1mdkMzRKrey7vn","application/javascript; charset=utf-8","200","OK","Indexable","","","107","","https://magicworksitsolutions.com/_next/static/chunks/3tciezd3cy3tf.js?dpl=dpl_61gKP5VGt1Jkai1mdkMzRKrey7vn"
"https://magicworksitsolutions.com/work/srj-steel-b2b-digital-presence","text/html; charset=utf-8","200","OK","Indexable","","78e5080671914f2c047e86966f200099","69","https://magicworksitsolutions.com/work/srj-steel-b2b-digital-presence","https://magicworksitsolutions.com/work/srj-steel-b2b-digital-presence"
"https://magicworksitsolutions.com/work/multi-specialty-hospital-opd-growth","text/html; charset=utf-8","200","OK","Indexable","","fa54a85fde0fed4c01c5ad3279508b8f","74","https://magicworksitsolutions.com/work/multi-specialty-hospital-opd-growth","https://magicworksitsolutions.com/work/multi-specialty-hospital-opd-growth"
"https://magicworksitsolutions.com/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2Fwa86etuq%2Fproduction%2Fa356f01d60f15dbf35fce2f7efa310fa695076f3-550x350.png&w=3840&q=75","image/png","200","OK","Indexable","","","177","","https://magicworksitsolutions.com/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2Fwa86etuq%2Fproduction%2Fa356f01d60f15dbf35fce2f7efa310fa695076f3-550x350.png&w=3840&q=75"
"https://magicworksitsolutions.com/work/design-institute-2x-inquiry-growth","text/html; charset=utf-8","200","OK","Indexable","","924fe6f40e165cc219f27dfbfce38136","73","https://magicworksitsolutions.com/work/design-institute-2x-inquiry-growth","https://magicworksitsolutions.com/work/design-institute-2x-inquiry-growth"
"https://magicworksitsolutions.com/work/steel-manufacturer-b2b-rfq-growth","text/html; charset=utf-8","200","OK","Indexable","","aa1ba85a73786858407915d9c12e8114","72","https://magicworksitsolutions.com/work/steel-manufacturer-b2b-rfq-growth","https://magicworksitsolutions.com/work/steel-manufacturer-b2b-rfq-growth"
"https://magicworksitsolutions.com/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2Fwa86etuq%2Fproduction%2Fb9f825c4da1b2e8ff4e42e12fa8a419ee4311856-550x350.jpg&w=3840&q=75","image/jpeg","200","OK","Indexable","","","177","","https://magicworksitsolutions.com/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2Fwa86etuq%2Fproduction%2Fb9f825c4da1b2e8ff4e42e12fa8a419ee4311856-550x350.jpg&w=3840&q=75"
"https://magicworksitsolutions.com/work/trexova-wellness-tourism-pipeline","text/html; charset=utf-8","200","OK","Indexable","","a7b20e43a060affe5a11fa125a0c55ff","72","https://magicworksitsolutions.com/work/trexova-wellness-tourism-pipeline","https://magicworksitsolutions.com/work/trexova-wellness-tourism-pipeline"
"https://magicworksitsolutions.com/work/d2c-lifestyle-brand-roas-growth","text/html; charset=utf-8","200","OK","Indexable","","46d4e5a08fd3f119e3585c452e7b0124","70","https://magicworksitsolutions.com/work/d2c-lifestyle-brand-roas-growth","https://magicworksitsolutions.com/work/d2c-lifestyle-brand-roas-growth"
"https://magicworksitsolutions.com/blog/pune-businesses-ai-social-media-traditional-agencies-2026","text/html; charset=utf-8","200","OK","Indexable","","3e8632db02ecd9328ca8d565a46691a5","96","https://magicworksitsolutions.com/blog/pune-businesses-ai-social-media-traditional-agencies-2026","https://magicworksitsolutions.com/blog/pune-businesses-ai-social-media-traditional-agencies-2026"
"https://magicworksitsolutions.com/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2Fwa86etuq%2Fproduction%2F647e1d997a14a34e5855b63838a31164767911e5-1000x636.jpg&w=3840&q=75","image/jpeg","200","OK","Indexable","","","178","","https://magicworksitsolutions.com/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2Fwa86etuq%2Fproduction%2F647e1d997a14a34e5855b63838a31164767911e5-1000x636.jpg&w=3840&q=75"
"https://magicworksitsolutions.com/blog/real-cost-of-ai-indian-marketing-sales-2026","text/html; charset=utf-8","200","OK","Indexable","","7006595f93c90b55758e52485b0f1a77","82","https://magicworksitsolutions.com/blog/real-cost-of-ai-indian-marketing-sales-2026","https://magicworksitsolutions.com/blog/real-cost-of-ai-indian-marketing-sales-2026"
"https://magicworksitsolutions.com/blog/google-ai-mode-india-advertisers-2026","text/html; charset=utf-8","200","OK","Indexable","","7286b504f0009c3b8a4f08fd3d70021a","76","https://magicworksitsolutions.com/blog/google-ai-mode-india-advertisers-2026","https://magicworksitsolutions.com/blog/google-ai-mode-india-advertisers-2026"
"https://magicworksitsolutions.com/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2Fwa86etuq%2Fproduction%2F2fea061b9151a3f38d95dad7e697a6c069346d5a-1000x636.jpg&w=3840&q=75","image/jpeg","200","OK","Indexable","","","178","","https://magicworksitsolutions.com/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2Fwa86etuq%2Fproduction%2F2fea061b9151a3f38d95dad7e697a6c069346d5a-1000x636.jpg&w=3840&q=75"
